,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase
0,Afghanistan,70761,2919,57450,10392,650,20,169,Eastern Mediterranean,4.13,81.19,5.08,65728,5033,7.66
1,Albania,132309,2450,129308,551,12,1,93,Europe,1.85,97.73,1.89,132209,100,0.08
2,Algeria,128725,3465,89625,35635,269,5,206,Africa,2.69,69.63,3.87,126860,1865,1.47
3,Andorra,13693,127,13416,150,0,0,0,Europe,0.93,97.98,0.95,13569,124,0.91
4,Angola,34366,764,27766,5836,186,7,120,Africa,2.22,80.79,2.75,32441,1925,5.93
5,Antigua and Barbuda,1259,42,1206,11,0,0,0,Americas,3.34,95.79,3.48,1257,2,0.16
6,Argentina,3753609,77456,3319068,357085,21346,348,30601,Americas,2.06,88.42,2.33,3539484,214125,6.05
7,Armenia,222636,4432,212981,5223,81,4,229,Europe,1.99,95.66,2.08,221948,688,0.31
8,Australia,30105,910,23581,5614,9,0,2,Western Pacific,3.02,78.33,3.86,30019,86,0.29
9,Austria,644586,10596,628312,5678,379,4,640,Europe,1.64,97.48,1.69,641380,3206,0.5
10,Azerbaijan,333864,4907,324103,4854,141,4,486,Europe,1.47,97.08,1.51,332454,1410,0.42
11,Bahamas,11745,229,10642,874,0,0,0,Americas,1.95,90.61,2.15,11396,349,3.06
12,Bahrain,238156,953,208445,28758,2458,14,2483,Eastern Mediterranean,0.4,87.52,0.46,218047,20109,9.22
13,Bangladesh,798830,12583,738805,47442,1444,34,1397,South-East Asia,1.58,92.49,1.7,789080,9750,1.24
14,Barbados,4017,47,3922,48,5,0,0,Americas,1.17,97.64,1.2,3995,22,0.55
15,Belarus,393807,2841,384933,6033,1178,10,1553,Europe,0.72,97.75,0.74,386025,7782,2.02
16,Belgium,1061200,24940,0,1036260,1437,19,0,Europe,2.35,0.0,inf,1048881,12319,1.17
17,Belize,12791,324,12378,89,0,0,0,Americas,2.53,96.77,2.62,12764,27,0.21
18,Benin,8058,101,7893,64,0,0,0,Africa,1.25,97.95,1.28,8025,33,0.41
19,Bhutan,1612,1,1275,336,9,0,34,South-East Asia,0.06,79.09,0.08,1394,218,15.64
20,Bolivia,368474,14471,292713,61290,1760,36,1388,Americas,3.93,79.44,4.94,349653,18821,5.38
21,Bosnia and Herzegovina,203839,9211,174236,20392,0,0,0,Europe,4.52,85.48,5.29,203150,689,0.34
22,Botswana,53771,831,50494,2446,0,0,0,Africa,1.55,93.91,1.65,51620,2151,4.17
23,Brazil,16515120,461931,14540507,1512682,43520,874,44283,Americas,2.8,88.04,3.18,16083258,431862,2.69
24,Brunei,241,3,228,10,0,0,0,Western Pacific,1.24,94.61,1.32,235,6,2.55
25,Bulgaria,418274,17662,380537,20075,53,5,178,Europe,4.22,90.98,4.64,416646,1628,0.39
26,Burkina Faso,13430,166,13248,16,0,0,0,Africa,1.24,98.64,1.25,13415,15,0.11
27,Burundi,4754,6,773,3975,39,0,0,Africa,0.13,16.26,0.78,4494,260,5.79
28,Cambodia,29404,209,22188,7007,579,6,873,Western Pacific,0.71,75.46,0.94,25205,4199,16.66
29,Cameroon,78929,1275,35261,42393,0,0,0,Africa,1.62,44.67,3.62,77733,1196,1.54
30,Canada,1386345,25472,0,1360873,1985,22,0,Americas,1.84,0.0,inf,1366462,19883,1.46
31,Cape Verde,30359,264,28428,1667,86,1,108,Africa,0.87,93.64,0.93,29334,1025,3.49
32,Central African Republic,7091,98,6859,134,6,0,194,Africa,1.38,96.73,1.43,7079,12,0.17
33,Chad,4929,173,4746,10,1,0,4,Africa,3.51,96.29,3.65,4924,5,0.1
34,Chile,1377507,29168,1302518,45821,7910,121,7019,Americas,2.12,94.56,2.24,1329918,47589,3.58
35,China,102987,4846,95156,2985,27,0,19,Western Pacific,4.71,92.4,5.09,102873,114,0.11
36,Colombia,3383279,88282,3153961,141036,20218,535,12412,Americas,2.61,93.22,2.8,3232456,150823,4.67
37,Comoros,3881,146,3719,16,0,0,0,Africa,3.76,95.83,3.93,3872,9,0.23
38,Costa Rica,314102,3962,242019,68121,0,0,0,Americas,1.26,77.05,1.64,299219,14883,4.97
39,Croatia,356141,8014,345823,2304,186,12,427,Europe,2.25,97.1,2.32,353986,2155,0.61
40,Cuba,141166,950,134021,6195,1079,7,1111,Americas,0.67,94.94,0.71,133053,8113,6.1
41,Cyprus,72407,360,39061,32986,44,0,0,Europe,0.5,53.95,0.92,71911,496,0.69
42,Czech Republic,1661159,30104,1617517,13538,224,3,19,Europe,1.81,97.37,1.86,1657893,3266,0.2
43,Democratic Republic of the Congo,31557,782,27665,3110,141,0,0,Africa,2.48,87.67,2.83,30863,694,2.25
44,Denmark,281101,2517,265231,13353,955,0,944,Europe,0.9,94.35,0.95,274170,6931,2.53
45,Djibouti,11528,154,11364,10,5,1,10,Eastern Mediterranean,1.34,98.58,1.36,11493,35,0.3
46,Dominica,188,0,186,2,0,0,4,Americas,0.0,98.94,0.0,184,4,2.17
47,Dominican Republic,291910,3628,240993,47289,1384,0,2183,Americas,1.24,82.56,1.51,283729,8181,2.88
48,East Timor,6897,16,0,6881,145,0,0,,0.23,0.0,inf,5637,1260,22.35
49,Ecuador,425841,20545,375151,30145,1100,60,8726,Americas,4.82,88.1,5.48,418851,6990,1.67
50,Egypt,261666,15047,191475,55144,1007,46,0,Eastern Mediterranean,5.75,73.18,7.86,253835,7831,3.09
51,El Salvador,73246,2245,68408,2593,0,4,0,Americas,3.07,93.39,3.28,72220,1026,1.42
52,Equatorial Guinea,8529,118,8146,265,0,0,0,Africa,1.38,95.51,1.45,8436,93,1.1
53,Eritrea,4061,14,3812,235,0,0,0,Africa,0.34,93.87,0.37,3932,129,3.28
54,Estonia,129486,1251,122997,5238,62,1,79,Europe,0.97,94.99,1.02,128592,894,0.7
55,Ethiopia,271345,4155,237544,29646,145,12,770,Africa,1.53,87.54,1.75,269194,2151,0.8
56,Fiji,401,4,164,233,41,0,3,Western Pacific,1.0,40.9,2.44,230,171,74.35
57,Finland,92432,948,46000,45484,188,0,0,Europe,1.03,49.77,2.06,91526,906,0.99
58,France,5728418,109562,391103,5227753,8541,44,225,Europe,1.91,6.83,28.01,5665101,63317,1.12
59,Gabon,24365,150,21791,2424,0,0,0,Africa,0.62,89.44,0.69,24107,258,1.07
60,Gambia,5990,178,5767,45,0,0,0,Africa,2.97,96.28,3.09,5968,22,0.37
61,Georgia,343603,4757,326423,12423,723,18,1407,Europe,1.38,95.0,1.46,337573,6030,1.79
62,Germany,3687715,88431,3487850,111434,3043,18,8150,Europe,2.4,94.58,2.54,3657662,30053,0.82
63,Ghana,93898,785,91961,1152,123,1,108,Africa,0.84,97.94,0.85,93620,278,0.3
64,Greece,401301,12054,93764,295483,906,30,0,Europe,3.0,23.37,12.86,389804,11497,2.95
65,Greenland,40,0,33,7,3,0,0,Europe,0.0,82.5,0.0,34,6,17.65
66,Grenada,161,1,160,0,0,0,0,Americas,0.62,99.38,0.62,161,0,0.0
67,Guatemala,254225,8137,233002,13086,388,16,643,Americas,3.2,91.65,3.49,247454,6771,2.74
68,Guinea,23172,161,20971,2040,0,0,0,Africa,0.69,90.5,0.77,22988,184,0.8
69,Guinea-Bissau,3766,68,3518,180,5,0,2,Africa,1.81,93.41,1.93,3751,15,0.4
70,Guyana,16910,385,14506,2019,88,3,38,Americas,2.28,85.78,2.65,16130,780,4.84
71,Haiti,14258,307,12528,1423,130,5,0,Americas,2.15,87.87,2.45,13735,523,3.81
72,Honduras,236952,6296,84389,146267,0,0,0,Americas,2.66,35.61,7.46,232672,4280,1.84
73,Hungary,804382,29728,696029,78625,350,19,3781,Europe,3.7,86.53,4.27,802088,2294,0.29
74,Iceland,6555,29,6476,50,0,0,0,Europe,0.44,98.79,0.45,6555,0,0.0
75,India,28047534,329100,25692342,2026092,152734,3128,238022,South-East Asia,1.17,91.6,1.28,26752447,1295087,4.84
76,Indonesia,1816041,50404,1663998,101639,6115,142,4024,South-East Asia,2.78,91.63,3.03,1775220,40821,2.3
77,Iran,2902094,79939,2441528,380627,8876,198,16495,Eastern Mediterranean,2.75,84.13,3.27,2832518,69576,2.46
78,Iraq,1197082,16351,1111466,69265,3474,17,4365,Eastern Mediterranean,1.37,92.85,1.47,1167940,29142,2.5
79,Ireland,254870,4941,23364,226565,0,0,0,Europe,1.94,9.17,21.15,254870,0,0.0
80,Israel,839458,6411,832591,456,5,4,52,Europe,0.76,99.18,0.77,839319,139,0.02
81,Italy,4216003,126046,3851661,238296,2948,44,6574,Europe,2.99,91.36,3.27,4192183,23820,0.57
82,Ivory Coast,47233,303,46642,288,0,0,0,Africa,0.64,98.75,0.65,46942,291,0.62
