,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
0,Diamond Princess,Canada,0.0,0.0,2020-01-22,0,0,0,0
1,Grand Princess,Canada,0.0,0.0,2020-01-22,0,0,0,0
2, ,Diamond Princess,0.0,0.0,2020-01-22,0,0,0,0
3, ,MS Zaandam,0.0,0.0,2020-01-22,0,0,0,0
4,Diamond Princess,Canada,0.0,0.0,2020-01-23,0,0,0,0
5,Grand Princess,Canada,0.0,0.0,2020-01-23,0,0,0,0
6, ,Diamond Princess,0.0,0.0,2020-01-23,0,0,0,0
7, ,MS Zaandam,0.0,0.0,2020-01-23,0,0,0,0
8,Diamond Princess,Canada,0.0,0.0,2020-01-24,0,0,0,0
9,Grand Princess,Canada,0.0,0.0,2020-01-24,0,0,0,0
10, ,Diamond Princess,0.0,0.0,2020-01-24,0,0,0,0
11, ,MS Zaandam,0.0,0.0,2020-01-24,0,0,0,0
12,Diamond Princess,Canada,0.0,0.0,2020-01-25,0,0,0,0
13,Grand Princess,Canada,0.0,0.0,2020-01-25,0,0,0,0
14, ,Diamond Princess,0.0,0.0,2020-01-25,0,0,0,0
15, ,MS Zaandam,0.0,0.0,2020-01-25,0,0,0,0
16,Diamond Princess,Canada,0.0,0.0,2020-01-26,0,0,0,0
17,Grand Princess,Canada,0.0,0.0,2020-01-26,0,0,0,0
18, ,Diamond Princess,0.0,0.0,2020-01-26,0,0,0,0
19, ,MS Zaandam,0.0,0.0,2020-01-26,0,0,0,0
20,Diamond Princess,Canada,0.0,0.0,2020-01-27,0,0,0,0
21,Grand Princess,Canada,0.0,0.0,2020-01-27,0,0,0,0
22, ,Diamond Princess,0.0,0.0,2020-01-27,0,0,0,0
23, ,MS Zaandam,0.0,0.0,2020-01-27,0,0,0,0
24,Diamond Princess,Canada,0.0,0.0,2020-01-28,0,0,0,0
25,Grand Princess,Canada,0.0,0.0,2020-01-28,0,0,0,0
26, ,Diamond Princess,0.0,0.0,2020-01-28,0,0,0,0
27, ,MS Zaandam,0.0,0.0,2020-01-28,0,0,0,0
28,Diamond Princess,Canada,0.0,0.0,2020-01-29,0,0,0,0
29,Grand Princess,Canada,0.0,0.0,2020-01-29,0,0,0,0
30, ,Diamond Princess,0.0,0.0,2020-01-29,0,0,0,0
31, ,MS Zaandam,0.0,0.0,2020-01-29,0,0,0,0
32,Diamond Princess,Canada,0.0,0.0,2020-01-30,0,0,0,0
33,Grand Princess,Canada,0.0,0.0,2020-01-30,0,0,0,0
34, ,Diamond Princess,0.0,0.0,2020-01-30,0,0,0,0
35, ,MS Zaandam,0.0,0.0,2020-01-30,0,0,0,0
36,Diamond Princess,Canada,0.0,0.0,2020-01-31,0,0,0,0
37,Grand Princess,Canada,0.0,0.0,2020-01-31,0,0,0,0
38, ,Diamond Princess,0.0,0.0,2020-01-31,0,0,0,0
39, ,MS Zaandam,0.0,0.0,2020-01-31,0,0,0,0
40,Diamond Princess,Canada,0.0,0.0,2020-02-01,0,0,0,0
41,Grand Princess,Canada,0.0,0.0,2020-02-01,0,0,0,0
42, ,Diamond Princess,0.0,0.0,2020-02-01,0,0,0,0
43, ,MS Zaandam,0.0,0.0,2020-02-01,0,0,0,0
44,Diamond Princess,Canada,0.0,0.0,2020-02-02,0,0,0,0
45,Grand Princess,Canada,0.0,0.0,2020-02-02,0,0,0,0
46, ,Diamond Princess,0.0,0.0,2020-02-02,0,0,0,0
47, ,MS Zaandam,0.0,0.0,2020-02-02,0,0,0,0
48,Diamond Princess,Canada,0.0,0.0,2020-02-03,0,0,0,0
49,Grand Princess,Canada,0.0,0.0,2020-02-03,0,0,0,0
50, ,Diamond Princess,0.0,0.0,2020-02-03,0,0,0,0
51, ,MS Zaandam,0.0,0.0,2020-02-03,0,0,0,0
52,Diamond Princess,Canada,0.0,0.0,2020-02-04,0,0,0,0
53,Grand Princess,Canada,0.0,0.0,2020-02-04,0,0,0,0
54, ,Diamond Princess,0.0,0.0,2020-02-04,0,0,0,0
55, ,MS Zaandam,0.0,0.0,2020-02-04,0,0,0,0
56,Diamond Princess,Canada,0.0,0.0,2020-02-05,0,0,0,0
57,Grand Princess,Canada,0.0,0.0,2020-02-05,0,0,0,0
58, ,Diamond Princess,0.0,0.0,2020-02-05,0,0,0,0
